,x_pixel,y_pixel
C_1355,20548,10792
C_1358,13229,10944
C_1359,14741,9202
C_1362,15000,16309
C_1363,16766,15582
C_1365,6666,10949
C_1368,7174,13560
C_1371,19031,8472
C_1372,20801,12097
C_1374,7423,9933
C_1375,10451,9641
C_1376,13743,21677
C_1377,17517,8474
C_1379,20043,11082
C_1382,19537,9632
C_1383,6670,15011
C_1384,20552,14853
C_1385,8179,8917
C_1386,15749,7170
C_1387,7424,11384
C_1388,19289,14419
C_1389,16005,11376
C_1392,19544,17175
C_1393,14749,17905
C_1395,7424,11094
C_1397,14996,11667
C_1399,20801,11517
C_1402,8440,18346
C_1403,10702,7755
C_1406,11212,13266
C_1407,10707,13847
C_1414,19032,8762
C_1415,13982,7026
C_1418,19288,13259
C_1419,14747,15294
C_1420,12724,10654
C_1421,18023,9924
C_1422,20553,16884
C_1425,14495,16019
C_1427,6167,16462
C_1428,16507,8185
C_1429,5914,15737
C_1430,13986,11378
C_1431,8684,9497
C_1432,17526,18628
C_1436,19537,9052
C_1437,20301,16739
C_1439,18028,14856
C_1440,12472,11089
C_1442,15256,20515
C_1443,7178,18492
C_1444,14489,9347
C_1446,14742,10362
C_1447,9695,11237
C_1450,6165,14431
C_1451,17779,18772
C_1454,20299,14999
C_1455,13489,20082
C_1457,13229,11234
C_1459,17011,7314
C_1460,12471,10509
C_1465,7676,11239
C_1472,10209,20520
C_1473,15244,6590
C_1475,14995,10797
C_1477,8944,18055
C_1478,9197,18200
C_1479,17015,11955
C_1483,9190,10657
C_1486,16005,11086
C_1487,8686,10948
C_1489,17264,7459
C_1490,20805,15869
C_1492,19285,9488
C_1493,13989,13989
C_1494,12468,7608
C_1499,9694,9496
C_1501,13993,18921
C_1502,18789,19352
C_1505,20301,17320
C_1506,11465,13991
C_1507,18528,9923
C_1513,6166,15882
C_1515,18275,9198
C_1516,13741,19646
C_1518,13989,14569
C_1519,15762,21095
C_1522,14492,11958
C_1527,17518,9924
C_1528,15253,16454
C_1529,18527,9053
C_1533,8693,18781
C_1534,15501,12247
C_1535,12227,19938
C_1536,7932,14575
C_1538,12479,18922
C_1539,11458,7029
C_1540,8441,20086
C_1542,18283,17902
C_1546,13730,7172
C_1547,14494,15149
C_1550,17779,19062
C_1551,16763,11521
C_1555,16768,17903
C_1557,17014,10215
C_1558,19288,13549
C_1560,21055,13112
C_1561,14500,20951
C_1562,14248,21386
C_1563,17771,9779
C_1564,9196,17330
C_1566,10200,10946
C_1568,19793,12968
C_1569,18527,8473
C_1570,13737,14424
C_1572,16514,16017
C_1573,11465,14281
C_1576,15248,10652
C_1580,12478,18052
C_1582,9190,10367
C_1586,8692,18200
C_1587,16006,11956
C_1589,6420,17187
C_1591,15509,21240
C_1592,16513,14857
C_1593,18275,9488
C_1594,20801,11807
C_1595,19791,10648
C_1597,14494,14859
C_1600,20552,15143
C_1601,11719,16457
C_1602,8435,12834
C_1604,7936,19797
C_1606,20043,10212
C_1608,14245,18776
C_1610,13478,7897
C_1611,12478,18342
C_1612,8432,9932
C_1614,18787,17321
C_1615,11468,17182
C_1616,17266,10070
C_1617,13988,12829
C_1618,20551,13983
C_1619,14999,15149
C_1621,12220,11815
C_1623,12218,9784
C_1625,12974,8478
C_1626,19285,9778
C_1627,20048,16594
C_1628,18530,11664
C_1629,12720,6302
C_1630,14497,17760
C_1632,14240,12973
C_1635,20552,15434
C_1636,11715,11815
C_1638,19796,17030
C_1640,8441,19506
C_1641,11967,11090
C_1644,8685,10658
C_1649,19796,16160
C_1651,18021,7893
C_1657,15501,11377
C_1659,17517,7894
C_1660,14240,12683
C_1661,13225,7462
C_1663,14991,6445
C_1664,10707,13557
C_1665,16006,11666
C_1666,14490,10507
C_1671,19039,16886
C_1674,12976,10799
C_1675,10703,9205
C_1676,17516,7313
C_1678,20045,13113
C_1679,9956,20665
C_1680,15250,13263
C_1681,11219,21389
C_1682,7680,15010
C_1684,14499,20661
C_1685,6419,16897
C_1686,18022,9054
C_1688,13735,12974
C_1689,13226,7752
C_1690,10966,20374
C_1691,17019,15437
C_1697,15755,14132
C_1698,9450,19215
C_1699,11720,17327
C_1702,16761,10070
C_1704,20047,14564
C_1708,20549,11952
C_1711,14239,11813
C_1713,21056,14563
C_1715,14994,9927
C_1716,15506,17759
C_1720,13490,20372
C_1721,11963,7028
C_1724,6667,11240
C_1728,13739,17035
C_1729,10199,10366
C_1731,16258,11521
C_1734,8940,13413
C_1735,15252,15583
C_1736,14747,15004
C_1743,5406,13126
C_1745,16509,9635
C_1746,16261,15292
C_1748,20043,10502
C_1752,19543,16305
C_1753,20043,10792
C_1754,8688,13559
C_1756,8685,10077
C_1758,18274,8328
C_1759,15251,14713
C_1760,16760,8329
C_1762,8684,8917
C_1763,15752,10651
C_1764,17769,7748
C_1767,5912,13996
C_1769,11208,9785
C_1770,5913,15447
C_1771,10954,7029
C_1775,11459,7609
C_1776,20045,12823
C_1778,11971,15731
C_1779,17273,17902
C_1780,10706,12686
C_1781,21057,15433
C_1785,11714,10365
C_1788,12972,6447
C_1789,8440,18926
C_1790,10714,21100
C_1791,15252,16164
C_1792,12973,7027
C_1793,13734,11233
C_1796,6671,16462
C_1797,14752,21386
C_1798,9701,17909
C_1800,11218,20229
C_1802,19795,15869
C_1805,20048,16014
C_1806,15249,12392
C_1810,16764,13261
C_1812,14998,13408
C_1813,19292,17320
C_1814,15753,10941
C_1815,7174,14140
C_1822,8688,13268
C_1827,14994,9346
C_1830,17267,10650
C_1832,13731,8042
C_1835,15000,16599
C_1837,14237,9782
C_1839,20801,11227
C_1841,11972,17182
C_1844,17524,15726
C_1845,14500,21241
C_1847,12975,9928
C_1848,15504,14858
C_1849,14492,12538
C_1850,20553,16014
C_1852,17264,7168
C_1855,11713,10075
C_1857,7930,12834
C_1859,14752,21096
C_1862,14238,10943
C_1865,7683,19072
C_1870,15756,14423
C_1875,14243,16745
C_1876,6665,9789
C_1877,16513,14567
C_1881,17266,10360
C_1884,7936,19216
C_1886,8937,10222
C_1887,10702,7465
C_1888,19538,10503
C_1890,17517,8764
C_1892,11975,19793
C_1893,10451,9350
C_1894,9694,10076
C_1896,14492,12248
C_1897,8431,9062
C_1898,12469,7898
C_1901,15003,19210
C_1902,18031,18917
C_1903,12216,7753
C_1904,15248,10942
C_1905,17266,9779
C_1906,17022,18918
C_1907,7935,18346
C_1908,8689,14429
C_1910,19031,8182
C_1912,7929,11964
C_1913,9954,18634
C_1914,14247,20806
C_1915,11460,9059
C_1916,18535,17466
C_1917,13736,13844
C_1919,13483,13119
C_1922,6417,14576
C_1924,15503,14568
C_1925,14742,10072
C_1926,18531,13405
C_1927,16514,15147
C_1929,18783,12389
C_1930,10702,8335
C_1933,15250,12972
C_1934,14746,14714
C_1936,12471,10219
C_1938,13736,13554
C_1939,17771,10069
C_1941,12227,20228
C_1942,21057,15723
C_1943,8944,17185
C_1944,19286,11228
C_1945,8937,9932
C_1946,13732,9783
C_1947,19790,10357
C_1948,12721,7463
C_1949,8943,16895
C_1950,9198,19941
C_1954,15497,7895
C_1956,12720,6592
C_1957,6166,16172
C_1958,19543,15725
C_1961,14741,8911
C_1963,10959,13121
C_1965,6166,15592
C_1966,18536,19207
C_1967,11712,8044
C_1969,14497,18050
C_1970,11973,17472
C_1971,15004,20951
C_1974,16511,12536
C_1975,16260,13552
C_1976,14234,6591
C_1978,12731,19067
C_1980,10955,8480
C_1982,19039,16595
C_1986,8935,8191
C_1987,19034,11373
C_1988,13483,12829
C_1991,9451,20085
C_1994,6921,13415
C_1996,8938,10802
C_1997,16260,13842
C_1998,8180,10368
C_1999,19792,11808
C_2000,13742,19936
C_2002,19538,9922
C_2003,18780,9198
C_2004,5660,14142
C_2006,7936,19506
C_2008,18531,12824
C_2009,21055,13693
C_2011,9197,17910
C_2013,11207,8624
C_2014,14241,13844
C_2015,12215,6883
C_2016,17769,7458
C_2024,12726,13555
C_2027,8692,18490
C_2028,11215,17038
C_2029,18021,7603
C_2030,12224,15876
C_2031,16007,13407
C_2032,15752,9781
C_2038,11465,14571
C_2039,17013,9345
C_2041,18277,11519
C_2044,13479,8477
C_2045,11459,7899
C_2048,19541,13984
C_2050,16511,12246
C_2056,16761,9200
C_2064,19034,11083
C_2067,10199,10076
C_2068,15249,12102
C_2073,6670,15301
C_2074,18023,9344
C_2077,20553,16594
C_2080,19035,12824
C_2083,11464,13411
C_2086,12221,13265
C_2087,11211,12106
C_2089,12218,10074
C_2091,14748,16744
C_2092,18274,7748
C_2095,11964,7899
C_2096,11471,21534
C_2097,8184,14429
C_2098,9195,16169
C_2102,15506,16889
C_2109,19287,11808
C_2110,15254,17324
C_2111,13986,11088
C_2113,10199,9786
C_2114,11207,8044
C_2115,6673,18202
C_2116,13227,9493
C_2118,7427,15155
C_2119,21057,15143
C_2121,11212,14137
C_2123,15003,19500
C_2124,18275,9779
C_2128,15505,16018
C_2129,16263,16743
C_2130,7422,9643
C_2131,14995,10507
C_2132,20302,17610
C_2135,11460,9350
C_2136,8440,18055
C_2137,20048,15724
C_2139,9704,20810
C_2140,20806,16739
C_2144,11208,9205
C_2146,14993,8476
C_2149,16001,7025
C_2150,18284,19062
C_2152,18533,15435
C_2153,13478,7317
