,x_pixel,y_pixel,layer_type,cell_type
101,538.5165622202328,2229.62260021884,I_CC,Oligo
102,542.4450906602806,2784.7742473486146,I_CC,Astro
103,561.4461699757552,1263.36970054387,HPC,Endo
104,542.8382405108194,3535.085668676836,L6,eL6-2
105,581.9279210028383,3946.09892384106,L6,eL6-1
106,567.0376440460948,7586.721425522834,L5,eL5
107,600.3370602067528,7417.800834109766,L5,eL5
108,590.443494145977,1362.9635472888815,I_CC,Micro
109,586.4473935264054,8636.667563884157,L4,SST
110,620.5926933358345,9373.896543638324,L4,eL2/3
111,615.9554935976869,9657.67508261049,L4,eL4
112,632.935545767738,1841.6568400854733,I_CC,Oligo
113,603.3552327948962,5819.910818514999,L5,Endo
114,639.963844842725,10940.970249470583,L2/3,eL2/3
115,635.1078405315615,3404.89634551495,I_CC,Oligo
116,628.1883816087003,12572.14918703564,L2/3,Astro
117,632.0201952085182,4779.012954747116,L6,eL6-2
118,643.643438197394,11057.109207400475,L2/3,eL2/3
119,655.3500151653018,11168.432211101,L2/3,eL6-1
120,637.855281073721,4292.127796148609,L6,eL6-2
121,646.1267343268242,10519.834275436791,L2/3,eL2/3
122,676.3642469135802,7097.457481481481,L5,eL5
123,668.3987540789084,1671.3903292791456,I_CC,Oligo
124,676.2134362348178,4545.621457489879,L6,eL6-1
125,673.9942589648472,5950.098745804628,L5,eL5
126,686.2334026474616,6704.930770401176,L5,Oligo
127,692.6813448751725,1317.4340107891103,HPC,Micro
128,685.5635495744191,3561.400046008742,L6,Endo
129,680.25016137842,11700.779482595955,L2/3,Endo
130,667.8535137494544,3223.252509821039,I_CC,SST
131,680.9378687819936,3731.8066116994255,L6,eL6-2
132,697.5043074884029,3913.0114186674814,L6,Micro
133,708.3771486349848,9213.22739018088,L4,eL6-1
134,695.1128037104804,12084.397770307649,L2/3,Endo
135,711.5579401679082,5614.942710180915,L6,eL6-1
136,718.9760603204523,12519.819557021678,L2/3,Endo
137,719.7083195383815,13014.974554225984,L1,Endo
138,740.7602456280871,6393.11002536377,L5,eL6-1
139,741.6231362960832,13535.715902008726,L1,Micro
140,713.6905891885635,6932.33510823012,L5,Oligo
141,732.3090575275398,4401.292594859241,L6,eL6-1
142,730.0242620546354,1122.0925258204486,HPC,Astro
143,720.2836755559342,5458.770682457187,L6,eL6-2
144,756.3313500939429,10025.159345083654,L2/3,eL5
145,748.7111281657712,10403.334663596828,L2/3,eL4
146,770.2260491781251,8280.727639181261,L4,eL2/3
147,750.6728680422445,9465.485736836172,L4,Micro
148,790.8235075182373,12132.393776983772,L2/3,Endo
149,772.7336667376037,4188.768833794425,L6,eL6-1
150,778.4997173544375,11060.377275296778,L2/3,Endo
151,801.1502806173581,9881.11054319503,L4,eL4
152,795.4436134330547,5276.054602336609,L6,eL6-1
153,771.2752859477124,8461.276511437909,L4,Micro
154,796.3022371475134,818.8129784186873,HPC,Reln
155,806.1393050035667,7467.520177315806,L5,Reln
156,813.5073337123365,1440.0329164297896,I_CC,Astro
157,793.4481003111154,1555.0842368247384,I_CC,Astro
158,791.543545398394,4648.338248919086,L6,eL6-2
159,813.9931034482759,4754.171814092953,L6,eL6-1
160,831.0357597564351,6967.80464987545,L5,Astro
161,817.9962917181706,11574.510636913668,L2/3,Endo
162,842.3512755325677,2837.4873761725257,I_CC,Oligo
163,840.0728373625395,3234.984105783358,I_CC,eL6-2
164,831.1210202411867,7907.473266692754,L4,eL5
165,838.315230317926,9231.32137477206,L4,PVALB
166,800.5469781615033,12877.200545962418,L2/3,Endo
167,842.5637495384291,11373.040512739355,L2/3,Endo
168,826.7362000609942,13055.215065568773,L1,Endo
169,840.0530683133925,13185.687958317252,L1,eL2/3
170,828.5061547325965,4038.056256874968,L6,eL5
171,826.9615140083923,11875.328105794091,L2/3,Endo
172,839.0049395161291,12336.85685483871,L2/3,Endo
173,844.9705406078724,5526.636273044345,L6,eL4
174,855.19614616281,10719.62339770268,L2/3,Endo
175,861.6840534085975,10356.890306122448,L2/3,eL2/3
176,843.359022556391,3550.542351973684,L6,eL6-2
177,875.461273231856,10953.944621983012,L2/3,Endo
178,874.9891568814134,8471.899555696604,L4,eL4
179,859.7859316092334,4976.649381572855,L6,eL6-2
180,864.8534292405487,12690.877985948478,L2/3,eL2/3
