,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
2823,8643,20621,immune,immune_2,immune_2,a_others,immune,immune
2824,10892,5674,tumor,a_others,a_others,a_others,a_others,tumor2
2825,18216,7839,tumor,tumor_1,a_others,a_others,a_others,tumor2
2826,18223,12772,immune,a_others,a_others,a_others,a_others,immune
2827,11914,13797,tumor,a_others,a_others,a_others,a_others,tumor1
2828,11915,14377,tumor,a_others,a_others,a_others,a_others,tumor2
2829,21007,17555,stroma,a_others,a_others,a_others,a_others,stroma2
2830,13174,12490,tumor,tumor_4,a_others,tumor,a_others,tumor2
2831,6356,11194,tumor,a_others,a_others,a_others,a_others,tumor1
2832,12170,15973,stroma,stroma_1,a_others,stroma,a_others,stroma2
2833,9125,6112,tumor,a_others,a_others,a_others,a_others,tumor2
2834,22760,8413,immune,a_others,a_others,a_others,a_others,immune
2835,8393,22507,tumor,a_others,a_others,a_others,a_others,tumor1
2836,20232,5805,immune,a_others,a_others,a_others,a_others,immune
2837,15697,11325,tumor,tumor_5,a_others,a_others,a_others,tumor2
2838,14445,18146,stroma,stroma_1,a_others,stroma,a_others,stroma2
2839,17711,7840,tumor,tumor_1,a_others,a_others,a_others,tumor2
2840,11144,5239,tumor,a_others,a_others,a_others,a_others,tumor1
2841,21504,12042,stroma,a_others,a_others,a_others,a_others,stroma1
2842,15940,5667,tumor,a_others,a_others,a_others,a_others,tumor2
2843,18477,13787,immune,a_others,a_others,a_others,a_others,immune
2844,20232,6095,tumor,a_others,a_others,a_others,a_others,tumor2
2845,21258,16539,stroma,a_others,a_others,a_others,a_others,stroma2
2846,21242,6094,stroma,a_others,a_others,a_others,a_others,stroma2
2847,14436,12633,tumor,tumor_4,a_others,tumor,a_others,tumor2
2848,13419,7412,tumor,a_others,a_others,a_others,a_others,tumor2
2849,12154,5818,stroma,a_others,a_others,a_others,a_others,stroma1
2850,12929,17277,tumor,a_others,a_others,a_others,a_others,tumor2
2851,15184,6393,immune,a_others,a_others,a_others,a_others,immune
2852,4606,21787,immune,a_others,a_others,a_others,a_others,immune
2853,7130,22074,immune,immune_2,immune_2,a_others,immune,immune
2854,8116,6114,tumor,a_others,a_others,a_others,a_others,tumor2
2855,10904,13509,tumor,a_others,a_others,a_others,a_others,tumor2
2856,21493,5078,tumor,a_others,a_others,a_others,a_others,tumor2
2857,12432,22501,stroma,a_others,a_others,a_others,a_others,stroma1
2858,16202,11614,tumor,tumor_5,a_others,a_others,a_others,tumor2
2859,14686,10456,stroma,a_others,a_others,a_others,a_others,stroma1
2860,7363,9162,tumor,a_others,a_others,a_others,a_others,tumor2
2861,9893,12930,tumor,a_others,a_others,a_others,a_others,tumor1
2862,15951,12340,tumor,a_others,a_others,a_others,a_others,tumor1
2863,7880,17285,stroma,a_others,a_others,a_others,a_others,stroma1
2864,19239,16833,immune,immune_1,immune_1,a_others,a_others,immune
2865,20489,8851,immune,a_others,a_others,a_others,a_others,immune
2866,16446,5956,stroma,a_others,a_others,a_others,a_others,stroma2
2867,18223,12482,tumor,tumor_5,a_others,a_others,a_others,tumor2
2868,10153,18007,stroma,a_others,a_others,a_others,a_others,stroma2
2869,12168,15102,stroma,stroma_1,a_others,stroma,a_others,stroma2
2870,11659,12492,tumor,a_others,a_others,a_others,a_others,tumor1
2871,7363,8872,tumor,a_others,a_others,a_others,a_others,tumor1
2872,13171,10749,tumor,a_others,a_others,a_others,a_others,tumor2
2873,10897,9156,stroma,a_others,a_others,a_others,a_others,stroma2
2874,17710,7260,stroma,a_others,a_others,a_others,a_others,stroma2
2875,12668,11910,tumor,a_others,a_others,a_others,a_others,tumor1
2876,4350,19902,tumor,a_others,a_others,a_others,a_others,tumor1
2877,4608,23238,tumor,a_others,a_others,a_others,a_others,tumor2
2878,20243,13059,immune,a_others,a_others,a_others,a_others,immune
2879,9379,7128,tumor,a_others,a_others,a_others,a_others,tumor1
2880,21748,6673,tumor,a_others,a_others,a_others,a_others,tumor1
2881,10157,20618,tumor,a_others,a_others,a_others,a_others,tumor1
2882,19751,21474,stroma,a_others,a_others,a_others,a_others,stroma2
2883,15447,13211,tumor,tumor_5,a_others,a_others,a_others,tumor2
