,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_685,10455,13702,immune,a_others,a_others,a_others,a_others,immune_2
C_688,17014,10505,immune,immune_1,a_others,a_others,immune,immune_1
C_689,15499,9346,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_691,8690,15589,immune,immune_2,a_others,immune,a_others,immune_2
C_692,8185,15300,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_698,14246,19356,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_700,16005,10506,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_705,6418,15446,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_706,17771,10359,immune,immune_1,a_others,a_others,immune,immune_1
C_708,15757,15873,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_709,12468,7028,tumor,a_others,a_others,a_others,a_others,tumor_8
C_711,20045,12533,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_714,8937,9642,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_717,16259,12391,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_718,16512,13406,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_721,5913,15157,immune,immune_2,a_others,immune,a_others,immune_2
C_722,10201,11817,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_724,17516,7603,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_726,16265,19644,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_727,19291,15870,tumor,a_others,a_others,a_others,a_others,tumor_5
C_728,6420,17477,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_729,9448,16314,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_730,7431,18927,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_731,17015,11375,immune,immune_1,a_others,a_others,immune,immune_1
C_734,7171,11239,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_739,20049,17465,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_740,13481,11378,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_741,17770,9199,immune,immune_1,a_others,a_others,immune,immune_1
C_742,16009,15728,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_743,8441,19796,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_745,8694,19941,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_747,9954,18344,fat,a_others,a_others,a_others,a_others,fat
C_749,14242,14714,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_750,9953,17184,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_753,10959,12541,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_754,10198,8916,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_756,18281,15581,tumor,a_others,a_others,a_others,a_others,tumor_5
C_757,14235,7171,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_759,19036,13114,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_760,12975,9638,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_761,20042,9632,tumor,a_others,a_others,a_others,a_others,tumor_5
C_764,12986,21533,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_765,20802,12677,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_766,10198,8335,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_771,8189,19941,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_773,15750,8620,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_774,5914,16607,immune,immune_2,a_others,immune,a_others,immune_2
C_775,6418,15156,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_776,16769,18773,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_778,14241,13554,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_779,8189,19651,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_783,18534,16596,tumor,a_others,a_others,a_others,a_others,tumor_5
C_784,8942,15154,immune,immune_2,a_others,immune,a_others,immune_2
C_787,10208,19359,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_788,7427,14285,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_789,6669,13851,immune,immune_2,a_others,immune,a_others,immune_2
C_793,8944,17475,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_794,15000,15729,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_798,8436,14574,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_801,9953,17474,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_803,16258,12101,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_807,16764,12681,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_811,12219,11235,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_813,12977,12249,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_814,8440,18636,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_816,10963,17473,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_818,15759,18484,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_819,16762,10940,immune,immune_1,a_others,a_others,immune,immune_1
C_821,15498,9056,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_822,12480,20663,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_823,13479,8187,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_824,16762,10360,immune,immune_1,a_others,a_others,immune,immune_1
C_827,19542,14564,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_829,10954,7609,immune,a_others,a_others,a_others,a_others,immune_3
C_831,10459,18344,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_832,14234,6301,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_846,11967,10800,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_848,12225,17907,tumor,tumor_6,a_others,a_others,a_others,tumor_7
