,alpha,beta,r1,r2,ss,sr,var
83,13.0,3.0,0.8328678678462793,0.44993681221614745,-0.02319211178147298,1.0,0.0074229959828656005
84,13.0,4.0,0.7609456989088503,0.587192434917628,0.00036490862180028834,1.0,0.0029479654464133636
85,13.0,5.0,0.700727697317284,0.6775774910105906,0.0023895637362806926,1.0,0.002610173253375475
86,13.0,6.0,0.6513732988932778,0.7388006364380751,0.018531899356186366,1.0,0.0027617694778751135
87,13.0,7.0,0.6089810274427108,0.7840521251054073,0.030700728461569123,1.0,0.0015216294275114963
88,13.0,8.0,0.48929889231603785,0.8107517188848761,-0.00765706269826186,1.0,0.0011050928554756957
89,13.0,9.0,0.48565695205185405,0.8151557935273609,0.006625604156050225,1.0,0.0016215691518404248
90,13.0,10.0,0.46675924111123696,0.8271228768716085,0.004093819312902398,1.0,0.000590151711322151
91,14.0,1.0,0.914573757745836,0.1824361199316956,-0.20784207743045138,1.0,0.008800749057317484
92,14.0,2.0,0.8942117142126494,0.2801337629482155,-0.09238358312697946,1.0,0.004119437607024734
93,14.0,3.0,0.8475942846238272,0.4159278033175169,-0.03627359412887877,1.0,0.00802186658441641
94,14.0,4.0,0.7799403996576428,0.5565701727719896,-0.00032841185303476037,1.0,0.004414016138227301
95,14.0,5.0,0.7208936965372322,0.6506949020836174,-0.002013340802167703,1.0,0.0033527368676249795
96,14.0,6.0,0.672313319184572,0.7151843486044781,0.013098917355091557,1.0,0.0022316856593741223
97,14.0,7.0,0.528834379825521,0.7316639051975057,-0.02376599559475474,1.0,0.0004454474583500094
98,14.0,8.0,0.5093947946939964,0.7247556752056088,-0.04997111125872598,0.95,0.013515206290758558
99,14.0,9.0,0.49357857334299365,0.7825526601173897,-0.02755988480289281,1.0,0.002255438381114238
100,14.0,10.0,0.4803724523139527,0.7987470929928122,0.021277318402473117,1.0,0.0010443228558232587
101,15.0,1.0,0.9172935635274267,0.1749059188954035,-0.20981659251318294,1.0,0.009042184366492548
102,15.0,2.0,0.8990720321393685,0.2653037366074115,-0.10851392130973082,1.0,0.013855002294322688
103,15.0,3.0,0.8606556253982401,0.3852173502422118,-0.047555985463400265,1.0,0.010707145775951745
104,15.0,4.0,0.7971946668221639,0.5260451151639894,-0.0028665126113083133,1.0,0.004764641789165108
105,15.0,5.0,0.7392866273427906,0.6249196374669884,-0.0018361642439368934,1.0,0.0011239030210576822
106,15.0,6.0,0.5893584952815113,0.6104724215822055,-0.04923753740269605,1.0,0.0004210644001227724
107,15.0,7.0,0.5493684155420254,0.6804257938854211,-0.06051775246820932,1.0,0.0007642367722509313
108,15.0,8.0,0.5317476691828873,0.7782147985244864,0.010465533185878494,1.0,0.0007839934483520059
109,15.0,9.0,0.5095033324760585,0.7725822318548944,0.04686107523776354,1.0,0.0006016967012975433
110,15.0,10.0,0.48036495890115954,0.7639478924991013,-0.012223299202036988,1.0,0.0012417650289578916
111,16.0,1.0,0.7380402965291408,0.21470525220964373,-0.1895885110483448,1.0,0.012868041563865415
112,16.0,2.0,0.9037402901766023,0.2505529558382915,-0.1225552785996806,1.0,0.01320446784866488
113,16.0,3.0,0.8699831909009971,0.3596958539459631,-0.055346899123345186,1.0,0.005935489266683921
114,16.0,4.0,0.814905133295897,0.49153525060056474,-0.010288648688584597,1.0,0.0031667552430698965
115,16.0,5.0,0.7560900318514179,0.6002264028881252,-0.001747310052049673,1.0,0.001464733184281058
116,16.0,6.0,0.5782966766502985,0.6556384916597362,-0.02314819997780915,1.0,0.002551871179188948
117,16.0,7.0,0.5478319581079779,0.7002278352653151,-0.03148662000386411,1.0,0.004226890776740109
118,16.0,8.0,0.525156993609673,0.7496227860442359,-0.013700839973560388,1.0,0.0013558938564200856
119,16.0,9.0,0.5220721206350797,0.7952332520707418,0.029297162756344773,1.0,0.000414814786612805
120,16.0,10.0,0.5039842206663416,0.8262952058961224,0.02602705695195113,1.0,0.000768766821404004
121,17.0,1.0,0.9209268689940132,0.16164901439860482,-0.2335592625105952,1.0,0.011346107377390854
122,17.0,2.0,0.9077403343873677,0.23938023954683096,-0.13064298157646728,1.0,0.011799248201364614
123,17.0,3.0,0.7111587772419556,0.30489828472663033,-0.1417436172691364,1.0,0.0014509411414063958
124,17.0,4.0,0.684838444127756,0.38594944305179063,-0.12611784265296197,1.0,0.001572769660367692
125,17.0,5.0,0.6447570387251993,0.4662587604534609,-0.08202446419904162,1.0,0.0011024531553494672
126,17.0,6.0,0.6105216193542607,0.5086584080698476,-0.10318813223330017,1.0,0.0028811676007125552
127,17.0,7.0,0.5625578812423225,0.6587496964588406,-0.032761739689327635,1.0,0.001078975746975013
128,17.0,8.0,0.5414998531605835,0.7229834251418285,0.015422694693294043,1.0,0.0007394233339956458
129,17.0,9.0,0.5201134423048379,0.8064688726465787,0.01730532275256867,1.0,0.00016470233867113348
130,17.0,10.0,0.5099217549286094,0.802803409555537,0.011163543711154581,1.0,0.0010484171750824195
131,18.0,1.0,0.9218860819392345,0.15728488496448637,-0.2264434928341695,1.0,0.015334932308411575
132,18.0,2.0,0.9103011958233793,0.23101828421567425,-0.13933153558156688,1.0,0.010309020910294167
133,18.0,3.0,0.7079471212776937,0.3490831714938588,-0.12054822214574261,1.0,0.001464027112040258
134,18.0,4.0,0.6803451465832248,0.36134221154202223,-0.11675543051386947,1.0,0.0027229918768253963
135,18.0,5.0,0.6415193277132627,0.48143901253110344,-0.08760687198896373,1.0,0.0002942260216741464
136,18.0,6.0,0.6476494112723009,0.5105200160906398,-0.056118876109524644,1.0,0.0005230796385845115
137,18.0,7.0,0.5953318365592306,0.6867848477196417,-0.01678220636576587,1.0,0.001069800653482679
138,18.0,8.0,0.5604766527131716,0.6782582227375616,-0.045458241087688166,1.0,0.003342329705174499
139,18.0,9.0,0.5359179774536061,0.733239035170035,-0.0094383693463138,1.0,0.002273212783887633
140,18.0,10.0,0.5131490575967285,0.7369472681159245,-0.04679281166427471,0.95,0.013456355400216575
141,19.0,1.0,0.9233674285962946,0.1507126654309874,-0.23843432252565203,1.0,0.010804652763252843
142,19.0,2.0,0.7304534111393302,0.2640627670548078,-0.16120564621849792,1.0,0.0016272583775128724
143,19.0,3.0,0.7154947805514984,0.29940390352448276,-0.13925761342329884,1.0,0.000605250888115373
144,19.0,4.0,0.6948620415014417,0.3723953853173328,-0.1210564307118094,1.0,0.0003172603578543775
145,19.0,5.0,0.6582959259257165,0.420471370391755,-0.09627274923164973,1.0,0.00024059899443382694
146,19.0,6.0,0.6192713036541834,0.5022361612053493,-0.09841887535037319,1.0,0.0010539698674538595
147,19.0,7.0,0.6017780357258391,0.5769813279468287,-0.05302251915223535,0.95,0.01708713449237406
148,19.0,8.0,0.5510924776012656,0.7459728549962164,0.009976021737680743,1.0,0.0010429505355238162
149,19.0,9.0,0.5388967781944737,0.7279071390800941,-0.011802947075027444,1.0,0.0007886551449500763
150,19.0,10.0,0.5335799005862083,0.7262500427733136,-0.023971429149152873,1.0,0.00046577490266055174
151,20.0,1.0,0.7382693187150223,0.13713282989383185,-0.18493959766895146,1.0,0.0027989630862252277
152,20.0,2.0,0.7265811274668125,0.21561768585189006,-0.22055180562904744,1.0,0.0011825246997450045
153,20.0,3.0,0.6894695139623966,0.31793199754304324,-0.14215902088013707,1.0,0.00040168660596963954
154,20.0,4.0,0.6926057566935924,0.3797141952468554,-0.13045500171493568,1.0,0.0022186222068356276
155,20.0,5.0,0.675951954768894,0.4627693648751728,-0.08923982237756074,1.0,0.002186290335696455
156,20.0,6.0,0.640563026515811,0.5179934969701747,-0.08748225103943777,1.0,0.0008389054668044087
157,20.0,7.0,0.6010452279367606,0.6111264566793642,-0.05156001913537705,1.0,0.0017677229211721854
158,20.0,8.0,0.5571717188116406,0.7361653575955295,0.007602811044798639,1.0,0.0003179150817063007
159,20.0,9.0,0.5396413373290851,0.7043614331918244,-0.028345078469251064,1.0,0.002507586688758919
160,20.0,10.0,0.5199734223414282,0.7108340012714194,-0.015763094614814847,1.0,0.0032727285310081822
